Full VQE parameter scan: N=8, 30x30
  time FM: 0.9645s | E = -7.448290
  time AP: 0.0856s | E = -7.611547
  time PM: 0.8226s | E = -2.206890
  time FM: 0.7736s | E = -7.448296
  time AP: 0.0864s | E = -7.611547
  time PM: 0.7588s | E = -2.206646
  time FM: 0.6751s | E = -7.448280
  time AP: 0.0895s | E = -7.703455
  time PM: 0.6523s | E = -2.758620
  time FM: 0.6626s | E = -7.448295
  time AP: 0.0673s | E = -7.703455
  time PM: 0.6768s | E = -2.758622
  time FM: 0.6381s | E = -7.448297
  time AP: 0.0929s | E = -7.814948
  time PM: 0.6564s | E = -3.310251
  time FM: 0.6706s | E = -7.448284
  time AP: 0.0670s | E = -7.814948
  time PM: 0.6318s | E = -3.310337
  time FM: 0.6424s | E = -7.448294
  time AP: 0.0863s | E = -7.948074
  time PM: 0.6651s | E = -3.862083
  time FM: 0.6899s | E = -7.448294
  time AP: 0.0696s | E = -7.948074
  time PM: 0.6469s | E = -3.862072
  time FM: 0.6731s | E = -7.448290
  time AP: 0.0881s | E = -8.093649
  time PM: 0.7389s | E = -4.413794
  time FM: 1.1956s | E = -7.448292
  time AP: 0.1431s | E = -8.093649
  time PM: 2.5371s | E = -4.413800
  time FM: 1.3006s | E = -7.448293
  time AP: 0.1167s | E = -8.274788
  time PM: 0.9910s | E = -4.965518
  time FM: 0.8996s | E = -7.448293
  time AP: 0.3283s | E = -8.274788
  time PM: 1.5751s | E = -4.965525
  time FM: 0.9813s | E = -7.448286
  time AP: 0.1002s | E = -8.469195
  time PM: 0.8945s | E = -5.517261
  time FM: 2.8919s | E = -7.448297
  time AP: 0.1192s | E = -8.469195
  time PM: 0.9789s | E = -5.517244
  time FM: 0.9297s | E = -7.448287
  time AP: 0.0828s | E = -8.684341
  time PM: 0.7868s | E = -6.068967
  time FM: 0.8285s | E = -7.448298
  time AP: 0.1128s | E = -8.684341
  time PM: 2.6249s | E = -6.068947
  time FM: 2.0867s | E = -7.448294
  time AP: 0.1180s | E = -8.916099
  time PM: 1.3743s | E = -6.620709
  time FM: 1.3301s | E = -7.448290
  time AP: 0.4478s | E = -8.916099
  time PM: 1.0921s | E = -6.620710
  time FM: 1.9443s | E = -7.448290
  time AP: 0.1428s | E = -9.173804
  time PM: 1.3819s | E = -7.172433
  time FM: 1.2859s | E = -7.448280
  time AP: 0.1560s | E = -9.173804
  time PM: 2.0739s | E = -7.172428
  time FM: 0.7050s | E = -7.448298
  time AP: 0.0947s | E = -9.449894
  time PM: 0.6439s | E = -7.724139
  time FM: 0.6268s | E = -7.448289
  time AP: 0.0702s | E = -9.449894
  time PM: 0.6236s | E = -7.724142
  time FM: 0.6733s | E = -7.448287
  time AP: 0.0657s | E = -9.743378
  time PM: 0.6383s | E = -8.275862
  time FM: 0.6346s | E = -7.448295
  time AP: 0.0860s | E = -9.743378
  time PM: 0.6442s | E = -8.275892
  time FM: 0.6192s | E = -7.448290
  time AP: 0.0680s | E = -10.060911
  time PM: 0.7545s | E = -8.827590
  time FM: 0.6683s | E = -7.448294
  time AP: 0.0712s | E = -10.060911
  time PM: 0.6607s | E = -8.827543
  time FM: 0.6579s | E = -7.448294
  time AP: 0.0686s | E = -9.729062
  time PM: 0.6319s | E = -9.379235
  time FM: 0.6239s | E = -7.448292
  time AP: 0.0684s | E = -9.729062
  time PM: 0.6225s | E = -9.379349
  time FM: 0.6742s | E = -7.448287
  time AP: 0.0977s | E = -9.931387
  time PM: 0.6413s | E = -9.931072
  time FM: 0.6868s | E = -7.448292
  time AP: 0.0690s | E = -9.931387
  time PM: 0.6307s | E = -9.931032
  time FM: 0.6266s | E = -7.448293
  time AP: 0.0763s | E = -10.483121
  time PM: 0.6404s | E = -10.482785
  time FM: 0.7458s | E = -7.448288
